Product_ID,productAsin,country,Column2,date,Year,isVerified,Review_ID,ratingScore,reviewTitle,Most Pop. Review Words,Count of  Pop. Review Words2,reviewDescription,reviewUrl,reviewedIn,variant,2,l,
1,B09G9BL5CP,India,Nov-24,11/8/2024,2024,TRUE,1,4,No charger,Performance,177,"Every thing is good about iPhones, there's nothing compared to it's speed and ios but i was disappointed because there's no charger for it even though Indian judiciary told them to provide , still they haven't made any progress regarding charger. Why should we spend 62k and more than that for iPhones because of it's brand and Acessories comfort size and Features right if that's not there what's point of buying an iPhone.Thank you🙏",https://www.amazon.in/gp/customer-reviews/R345SEIPU4N2XD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 11 August 2024,Colour, MidnightSize, 256 GB,
2,B09G9BL5CP,India,Aug-24,16-08-2024,2024,TRUE,2,5,iPhone 13 256GB,Camera,522,"It look so fabulous, I am android user switched to apple, performance wise iPhone is more better than android due to A15 Bionic chip. I feel pleasant while using iPhone in hand. I like it very much 😍❤️",https://www.amazon.in/gp/customer-reviews/R2HJRJW7MRIVNL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 16 August 2024,Colour, MidnightSize, 256 GB,
3,B09G9BL5CP,India,May-24,14-05-2024,2024,TRUE,3,4,Flip camera option nill,Battery,603,"I tried to flip camera while recording but no facility is added here. You have to pause first then you can flip from back to front or vice versa it means you can't continue it, very awkward position. Iphone software should be upgraded so that we can make it go. It's very essential for a content creator. I purchased gimbal dji om se but it could not provided that, it's very essential for a vlogger but I was fed up after finding the basic requirements wasn't built in these products !",https://www.amazon.in/gp/customer-reviews/R3Y7TPOGMY40P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 14 May 2024,Colour, MidnightSize, 256 GB,
4,B09G9BL5CP,India,Jun-24,24-06-2024,2024,TRUE,4,5,Product,Display,180,100% genuine,https://www.amazon.in/gp/customer-reviews/R1P9A1G2E3ZB7L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 24 June 2024,Colour, MidnightSize, 256 GB,
5,B09G9BL5CP,India,May-24,18-05-2024,2024,TRUE,5,5,Good product,Design,62,Happy to get the iPhone 13 in Amazon offer,https://www.amazon.in/gp/customer-reviews/R1XI5GCQ8WH1LV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 18 May 2024,Colour, MidnightSize, 256 GB,
6,B09G9BL5CP,India,May-24,14-05-2024,2024,TRUE,6,5,Too smooth and effective battery life,Storage,24,5 star 👍,https://www.amazon.in/gp/customer-reviews/R3J3YN2SLDE72Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 14 May 2024,Colour, MidnightSize, 256 GB,
7,B09G9BL5CP,India,Jan-24,28-01-2024,2024,TRUE,7,5,Apple 13 256 GB,Software,55,"Great Product... Nothing to say, as the Name APPLE is own identity of this product.. All is well, recommendation is 100% . Just grab this product else you missed something....",https://www.amazon.in/gp/customer-reviews/R2ZMQV9EEYDF4K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 28 January 2024,Colour, MidnightSize, 256 GB,
8,B09G9BL5CP,India,Jan-24,1/3/2024,2024,TRUE,8,5,Good,Connectivity,20,Good product 😀💯,https://www.amazon.in/gp/customer-reviews/R1XF1WDLPLST8I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 1 March 2024,Colour, MidnightSize, 256 GB,
9,B09G9BL5CP,India,Nov-23,14-11-2023,2023,TRUE,9,4,Good,Durability,15,Nice product,https://www.amazon.in/gp/customer-reviews/R2QA6GV3Q80RB2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 14 November 2023,Colour, MidnightSize, 256 GB,
10,B09G9BL5CP,India,Mar-24,3/2/2024,2024,TRUE,10,5,Excellent,Value,92,Excellent product,https://www.amazon.in/gp/customer-reviews/R322E11GD7VP55/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BQS98,Reviewed in India on 3 February 2024,Colour, MidnightSize, 256 GB,
